序号,代码,名称,最新价,今日排行榜-主力净占比,今日排行榜-今日排名,今日排行榜-今日涨跌,5日排行榜-主力净占比,5日排行榜-5日排名,5日排行榜-5日涨跌,10日排行榜-主力净占比,10日排行榜-10日排名,10日排行榜-10日涨跌,所属板块
1,300264,佳创视讯,9.77,15.36,78.0,20.02,1.37,1096,10.9,-3.8,4244,-10.94,IT服务Ⅱ
2,301349,信德新材,75.6,6.0,438.0,20.0,2.16,752,16.97,2.89,454,37.7,电池
3,300540,蜀道装备,30.5,10.95,173.0,19.98,6.59,137,20.41,1.09,1165,4.17,专用设备
4,300162,雷曼光电,12.13,19.8,37.0,19.98,4.91,282,8.79,3.02,461,13.47,光学光电子
5,301051,信濠光电,20.96,8.05,296.0,19.98,6.29,161,32.24,3.74,308,30.19,消费电子
6,300668,杰恩股份,66.99,0.24,1414.0,18.65,-0.03,1574,6.76,1.85,745,17.63,工程咨询服务Ⅱ
7,300338,*ST开元,2.98,19.91,35.0,17.79,-4.18,3812,-7.74,-4.65,4602,-2.93,教育
8,300260,新莱应材,93.26,3.69,742.0,14.98,2.83,578,12.4,3.57,320,28.14,通用设备
9,300088,长信科技,11.8,7.73,320.0,14.67,-0.8,2122,13.79,-1.41,2806,51.48,光学光电子
10,300749,顶固集创,27.58,6.4,437.0,14.58,6.87,121,22.31,4.02,270,29.54,家居用品
11,300592,华凯易佰,17.14,9.19,232.0,14.34,2.47,714,40.95,2.4,620,31.04,互联网电商
12,301096,百诚医药,59.87,-4.1,2831.0,12.73,-5.1,4206,7.45,-4.39,4499,9.09,医疗服务
13,300762,上海瀚讯,45.48,7.32,359.0,12.46,2.9,618,11.2,1.0,1221,20.06,军工电子Ⅱ
14,301611,珂玛科技,169.0,0.97,1250.0,12.35,-0.56,1806,38.79,1.01,1112,53.5,半导体
15,300084,海默科技,12.47,2.09,1010.0,12.04,-3.03,3260,5.68,-2.23,3405,6.13,专用设备
16,300877,金春股份,31.85,-0.74,1895.0,12.03,0.8,1320,11.79,-0.64,2261,17.83,纺织制造
17,301236,软通动力,41.55,7.78,315.0,11.72,2.56,698,7.75,-2.25,3418,1.14,IT服务Ⅱ
18,300102,乾照光电,24.6,13.61,96.0,11.01,-0.67,2054,-0.08,0.41,1550,8.99,光学光电子
19,300720,海川智能,89.33,-2.9,2483.0,10.97,-2.14,2852,9.47,-1.51,2876,20.93,通用设备
20,300382,斯莱克,21.1,-4.11,2832.0,10.76,2.05,866,30.81,0.96,1247,46.02,专用设备
21,300382,斯莱克,21.1,-4.1,2830.0,10.76,2.05,868,30.81,0.96,1248,46.02,专用设备
22,300727,润禾材料,38.7,6.11,425.0,10.13,1.74,867,10.92,0.79,1227,22.62,化学制品
23,300243,瑞丰高材,22.78,8.49,271.0,9.89,4.21,367,16.52,2.27,670,21.62,塑料
24,300900,广联航空,36.4,10.43,186.0,9.61,0.67,1381,3.47,0.94,1260,11.86,航空装备Ⅱ
25,301588,美新科技,41.82,5.37,501.0,9.53,1.86,831,1.65,4.76,160,20.73,家居用品
26,300321,同大股份,57.94,0.95,1254.0,9.42,1.49,934,17.0,0.33,1472,41.39,化学制品
27,301526,国际复材,52.28,1.18,1201.0,9.19,-1.72,2369,27.86,-2.17,3099,97.66,玻璃玻纤
28,300776,帝尔激光,195.41,6.38,439.0,9.05,2.51,704,15.35,-0.32,2044,33.47,光伏设备
29,301629,矽电股份,435.87,4.54,624.0,8.86,-1.29,2153,8.44,-0.57,2023,12.11,半导体
30,300398,飞凯材料,61.68,2.31,973.0,8.86,2.66,677,33.8,0.97,1237,43.81,电子化学品Ⅱ
31,300821,东岳硅材,20.21,5.33,509.0,8.77,-3.36,3152,1.97,-2.24,3136,13.09,化学制品
32,300717,华信新材,22.08,7.18,370.0,8.45,6.57,141,31.43,5.29,122,27.63,塑料
33,300420,五洋自控,9.73,5.66,472.0,8.11,1.87,826,30.08,0.4,1435,67.76,通用设备
34,301392,汇成真空,245.16,-6.22,3429.0,8.0,-2.9,3205,16.4,1.61,920,54.19,专用设备
35,301046,能辉科技,27.02,7.73,322.0,7.99,2.08,855,-5.85,-0.87,2424,5.92,专业工程
36,301232,飞沃科技,156.29,3.65,748.0,7.92,3.62,433,10.41,3.74,292,33.8,风电设备
37,301188,力诺药包,71.34,0.04,1464.0,7.72,3.13,526,6.7,0.29,1495,30.04,医疗器械
38,300293,蓝英装备,19.34,7.29,361.0,7.68,2.72,664,8.65,1.85,815,8.9,专用设备
39,300666,江丰电子,355.25,4.03,703.0,7.65,-0.33,1703,14.15,-0.74,2121,21.49,半导体
40,300801,泰和科技,30.43,11.2,162.0,7.45,7.32,93,11.88,5.31,120,16.9,化学制品
41,301138,华研精机,33.07,6.67,411.0,7.41,5.71,191,14.95,4.94,153,25.6,专用设备
42,300840,酷特智能,21.0,6.18,419.0,7.25,1.06,1093,-2.37,0.38,1443,4.17,服装家纺
43,300780,德恩精工,33.1,-3.32,2603.0,7.12,1.99,889,4.48,3.9,290,28.1,通用设备
44,300320,海达股份,9.57,-0.9,1927.0,7.05,-0.85,2145,0.53,3.88,292,18.44,橡胶
45,301421,波长光电,93.44,2.66,907.0,6.67,-0.3,1868,-7.59,-0.93,2479,3.1,光学光电子
46,300440,运达科技,21.44,1.57,1110.0,6.61,-0.28,1677,10.06,-1.8,2835,11.2,IT服务Ⅱ
47,300506,名家汇,6.28,0.12,1444.0,6.44,-0.69,1857,28.43,-2.37,3215,47.07,装修装饰Ⅱ
48,301005,超捷股份,110.95,12.03,133.0,6.38,1.32,1125,5.32,-0.47,2142,10.95,汽车零部件
49,300212,*ST易录,9.09,2.76,890.0,6.32,-9.55,5263,-12.43,-5.97,5011,-2.68,IT服务Ⅱ
50,300323,华灿光电,19.46,-4.82,3020.0,6.22,0.58,1421,20.64,-0.76,2333,27.52,光学光电子
51,300901,中胤时尚,14.12,2.06,1020.0,6.09,-3.2,3358,-4.47,-2.46,3556,-2.69,服装家纺
52,300259,新天科技,5.6,6.43,432.0,6.06,4.75,299,0.0,2.09,723,5.46,通用设备
53,301197,工大科雅,33.83,5.23,506.0,6.05,4.99,252,7.84,4.42,199,18.83,通用设备
54,300342,天银机电,44.8,13.38,103.0,6.01,-4.82,4092,0.13,-5.86,4977,-10.86,家电零部件Ⅱ
55,300721,怡达股份,37.22,6.75,404.0,5.89,5.09,262,32.69,1.35,1037,14.31,化学制品
56,300751,迈为股份,264.0,5.23,533.0,5.81,0.4,1357,19.65,1.07,1077,24.33,光伏设备
57,300285,国瓷材料,104.08,3.32,795.0,5.77,-2.0,2775,16.25,-2.02,3260,66.79,电子化学品Ⅱ
58,300301,ST长方,3.7,-0.86,1917.0,5.71,-0.6,2021,17.09,-2.49,3573,17.83,光学光电子
59,300537,广信材料,32.68,2.59,926.0,5.66,1.33,1112,13.0,0.82,1323,17.17,电子化学品Ⅱ
60,301095,广立微,106.42,5.17,545.0,5.66,3.01,542,3.82,1.79,762,8.14,软件开发
61,300219,鸿利智汇,10.08,5.85,450.0,5.55,3.79,408,11.38,0.26,1511,21.01,光学光电子
62,300395,菲利华,140.91,8.59,264.0,5.51,-0.7,2072,3.8,-0.72,2303,13.64,航空装备Ⅱ
63,300013,新宁物流,4.04,6.42,434.0,5.48,1.33,1114,-1.7,1.44,998,-1.46,物流
64,300670,大烨智能,6.35,10.92,174.0,5.48,3.09,577,9.29,0.33,1598,3.59,电网设备
65,301321,翰博高新,43.06,19.83,36.0,5.41,1.46,1051,9.32,1.33,1045,41.6,光学光电子
66,300214,日科化学,10.34,6.88,395.0,5.4,-4.39,3906,9.19,-1.82,3104,42.03,化学制品
67,301257,普蕊斯,43.3,-0.27,1765.0,5.38,2.04,875,7.23,1.19,1113,6.57,医疗服务
68,301295,美硕科技,42.93,-3.81,2745.0,5.38,-4.63,4010,-3.94,-4.86,4686,-5.71,电网设备
69,300446,航天智造,17.42,6.04,432.0,5.26,1.47,938,10.88,1.01,1102,14.68,汽车零部件
70,300346,南大光电,78.56,2.43,957.0,5.14,2.35,759,21.05,-1.11,2609,17.76,电子化学品Ⅱ
71,300938,信测标准,52.88,9.15,236.0,5.07,3.46,501,16.48,3.46,364,39.6,专业服务
72,300656,民德电子,39.99,4.67,611.0,5.07,0.85,1170,3.07,0.47,1402,8.32,其他电子Ⅱ
73,301030,*ST仕净,8.45,-1.13,1978.0,4.97,-11.9,5469,-19.91,-11.45,5548,-32.29,环保设备Ⅱ
74,300655,晶瑞电材,18.65,5.62,477.0,4.95,1.85,832,13.65,-1.0,2315,16.27,电子化学品Ⅱ
75,300566,激智科技,32.05,8.34,285.0,4.91,-4.77,4068,-6.86,-2.37,3498,10.52,光学光电子
76,301045,天禄科技,69.31,1.35,1163.0,4.89,0.26,1410,7.69,-1.29,2479,26.83,光学光电子
77,301345,涛涛车业,229.2,1.91,1050.0,4.72,1.46,1056,12.14,4.55,198,17.34,摩托车及其他
78,300027,ST华谊,1.58,4.19,674.0,4.64,-11.54,5117,-9.71,-8.68,5069,-9.2,影视院线
79,300093,金刚光伏,25.83,-9.64,4309.0,4.62,-3.96,3723,11.58,-4.14,4390,12.3,光伏设备
80,300759,康龙化成,26.53,2.42,960.0,4.57,3.53,488,16.82,0.76,1346,22.15,医疗服务
81,300316,晶盛机电,59.0,3.82,728.0,4.46,-0.71,1881,9.48,1.87,735,22.33,光伏设备
82,300345,华民股份,5.91,1.59,1106.0,4.42,0.9,1146,2.78,-1.33,2504,-7.94,光伏设备
83,300567,精测电子,274.43,-1.94,2203.0,4.35,-0.63,2036,28.32,0.55,1475,42.27,通用设备
84,301348,蓝箭电子,31.11,5.72,463.0,4.29,-0.37,1727,10.32,1.75,783,24.34,半导体
85,301618,长联科技,47.72,7.56,338.0,4.26,5.02,270,22.36,3.76,305,26.21,化学制品
86,301186,超达装备,40.2,5.24,527.0,4.23,-2.74,2864,-2.43,-1.4,2563,-2.71,汽车零部件
87,300200,高盟新材,11.9,5.63,476.0,4.2,4.63,291,25.4,1.89,726,25.13,化学制品
88,300498,温氏股份,12.21,5.12,551.0,4.18,-2.12,2580,0.41,-0.23,1805,-3.55,养殖业
89,300196,长海股份,33.33,-1.49,2068.0,4.12,-1.72,2615,11.62,-0.07,1865,28.54,玻璃玻纤
90,300761,立华股份,16.33,4.53,627.0,4.08,-2.72,2848,-5.0,-1.61,2695,-8.57,养殖业
91,301269,华大九天,114.48,2.42,961.0,3.98,1.18,1184,10.08,1.47,988,18.69,软件开发
92,301585,蓝宇股份,26.51,2.96,855.0,3.96,3.28,535,6.51,2.26,674,5.91,化学制品
93,300319,麦捷科技,31.27,2.83,872.0,3.96,-2.81,3156,12.64,-2.29,3446,50.26,元件
